unique_id,ds,NBEATS,NHITS
hotel_91,2023-07-20,0.87914306,0.9169835
hotel_91,2023-07-21,0.9043177,0.90849805
hotel_91,2023-07-22,0.92437065,0.92277753
hotel_91,2023-07-23,0.8464266,0.8975419
hotel_91,2023-07-24,0.8692784,0.8963427
hotel_91,2023-07-25,0.95122445,0.9471794
hotel_91,2023-07-26,0.96209794,0.97953594
hotel_91,2023-07-27,0.89566,0.93471444
hotel_91,2023-07-28,0.9084373,0.91896194
hotel_98,2023-07-01,0.42887422,0.41256326
hotel_98,2023-07-02,0.17687729,0.24502811
hotel_98,2023-07-03,0.14286637,0.21080539
hotel_98,2023-07-04,0.1488634,0.19725907
hotel_98,2023-07-05,0.16930991,0.22328728
hotel_98,2023-07-06,0.24713394,0.26828462
hotel_98,2023-07-07,0.33239627,0.3590057
hotel_98,2023-07-08,0.322739,0.2973412
hotel_98,2023-07-09,0.14492667,0.16181597
hotel_98,2023-07-10,0.12959802,0.1359041
hotel_98,2023-07-11,0.13250965,0.14359508
hotel_98,2023-07-12,0.18920359,0.17290668
hotel_98,2023-07-13,0.25026006,0.23959069
hotel_98,2023-07-14,0.33740622,0.3239559
hotel_98,2023-07-15,0.32855922,0.26327962
hotel_98,2023-07-16,0.13958383,0.15479252
hotel_98,2023-07-17,0.13967675,0.15220027
hotel_98,2023-07-18,0.15298155,0.17878169
hotel_98,2023-07-19,0.17811027,0.19735424
hotel_98,2023-07-20,0.2922802,0.24824712
hotel_98,2023-07-21,0.34605512,0.3404369
hotel_98,2023-07-22,0.33404988,0.30075872
hotel_98,2023-07-23,0.16053739,0.17658153
hotel_98,2023-07-24,0.14010346,0.15515153
hotel_98,2023-07-25,0.1337164,0.18019603
hotel_98,2023-07-26,0.1694929,0.20143871
hotel_98,2023-07-27,0.23449817,0.24386968
hotel_98,2023-07-28,0.33440864,0.3249815
